nombre_tipo_inst_1,cod_tipo_ies,nombre_tipo_inst_2,nombre_tipo_inst_3,region,provincia,comuna,area_conocimiento,oecd_area,oecd_subarea,area_carrera,cod_ies,nombre_ies,cod_sede,nombre_sede,cod_carrera,nombre_carrera,pond_nem,pond_ranking,pond_lengua,pond_mat,pond_hist,pond_ciencia,arancel,cuota_basica,costo_titulacio,anio,matriculados,matricula_mujer,matricula_hombre,prestigio
Universidades,C,Universidades Privadas,Universidades Privadas,REGION METROPOLITANA,SANTIAGO,SANTIAGO,Tecnología,"Ingeniería, Industria y Construcción",Industria y Producción,Ingeniería Civil Industrial,3,UNIVERSIDAD DIEGO PORTALES,1,CASA CENTRAL (SANTIAGO),10,INGENIERIA CIVIL INDUSTRIAL,10,10,10,60,10,10,4985000,498000,220400,OFE_2019,1361,393,968,6
Universidades,C,Universidades Privadas,Universidades Privadas,REGION METROPOLITANA,SANTIAGO,SANTIAGO,Educación,Educación,Formación de Personal Docente,Postítulo en Educación,3,UNIVERSIDAD DIEGO PORTALES,1,CASA CENTRAL (SANTIAGO),115,"POSTITULO EN EDUCACION MENCION HISTORIA, GEOGRAFIA Y CIENCIAS SOCIALES",0,0,0,0,0,0,986667,0,0,OFE_2019,1,1,0,6
Universidades,C,Universidades Privadas,Universidades Privadas,REGION METROPOLITANA,SANTIAGO,SANTIAGO,Educación,Educación,Formación de Personal Docente,Postítulo en Educación,3,UNIVERSIDAD DIEGO PORTALES,1,CASA CENTRAL (SANTIAGO),115,"POSTITULO EN EDUCACION MENCION HISTORIA, GEOGRAFIA Y CIENCIAS SOCIALES",0,0,0,0,0,0,0,0,0,OFE_2019,NA,NA,NA,6
Universidades,C,Universidades Privadas,Universidades Privadas,REGION METROPOLITANA,SANTIAGO,SANTIAGO,Educación,Educación,Formación de Personal Docente,Postítulo en Educación,3,UNIVERSIDAD DIEGO PORTALES,1,CASA CENTRAL (SANTIAGO),116,POSTITULO EN EDUCACION MENCION CIENCIAS NATURALES,0,0,0,0,0,0,986667,0,0,OFE_2019,32,25,7,6
Universidades,C,Universidades Privadas,Universidades Privadas,REGION METROPOLITANA,SANTIAGO,SANTIAGO,Educación,Educación,Formación de Personal Docente,Postítulo en Educación,3,UNIVERSIDAD DIEGO PORTALES,1,CASA CENTRAL (SANTIAGO),116,POSTITULO EN EDUCACION MENCION CIENCIAS NATURALES,0,0,0,0,0,0,0,0,0,OFE_2019,NA,NA,NA,6
Universidades,C,Universidades Privadas,Universidades Privadas,REGION METROPOLITANA,SANTIAGO,SANTIAGO,Educación,Educación,Formación de Personal Docente,Postítulo en Educación,3,UNIVERSIDAD DIEGO PORTALES,1,CASA CENTRAL (SANTIAGO),117,POSTITULO EN EDUCACION MENCION IDIOMA EXTRANJERO: INGLES,0,0,0,0,0,0,0,0,0,OFE_2019,NA,NA,NA,6
Universidades,C,Universidades Privadas,Universidades Privadas,REGION METROPOLITANA,SANTIAGO,SANTIAGO,Educación,Educación,Formación de Personal Docente,Postítulo en Educación,3,UNIVERSIDAD DIEGO PORTALES,1,CASA CENTRAL (SANTIAGO),117,POSTITULO EN EDUCACION MENCION IDIOMA EXTRANJERO: INGLES,0,0,0,0,0,0,0,0,0,OFE_2019,NA,NA,NA,6
Universidades,C,Universidades Privadas,Universidades Privadas,REGION METROPOLITANA,SANTIAGO,SANTIAGO,Educación,Educación,Formación de Personal Docente,Postítulo en Educación,3,UNIVERSIDAD DIEGO PORTALES,1,CASA CENTRAL (SANTIAGO),118,POSTITULO EN EDUCACION MENCION LENGUAJE Y COMUNICACION,0,0,0,0,0,0,986667,0,0,OFE_2019,79,76,3,6
Universidades,C,Universidades Privadas,Universidades Privadas,REGION METROPOLITANA,SANTIAGO,SANTIAGO,Educación,Educación,Formación de Personal Docente,Postítulo en Educación,3,UNIVERSIDAD DIEGO PORTALES,1,CASA CENTRAL (SANTIAGO),118,POSTITULO EN EDUCACION MENCION LENGUAJE Y COMUNICACION,0,0,0,0,0,0,0,0,0,OFE_2019,NA,NA,NA,6
Universidades,C,Universidades Privadas,Universidades Privadas,REGION METROPOLITANA,SANTIAGO,SANTIAGO,Educación,Educación,Formación de Personal Docente,Postítulo en Educación,3,UNIVERSIDAD DIEGO PORTALES,1,CASA CENTRAL (SANTIAGO),119,POSTITULO EN EDUCACION MENCION EDUCACION MATEMATICA,0,0,0,0,0,0,986667,0,0,OFE_2019,79,60,19,6
